uuid,Acanthamoeba.polyphaga.mimivirus,Acaryochloris.marina,Acetoanaerobium.sticklandii,Acetobacter.aceti,Acetobacter.pasteurianus,Acetobacter.persici,Acetobacter.pomorum,Acetobacter.senegalensis,Acetobacter.sp..SLV.7,Acetobacter.tropicalis,Acetobacterium.woodii,Acetomicrobium.mobile,Acholeplasma.brassicae,Acholeplasma.laidlawii,Acholeplasma.oculi,Acholeplasma.palmae,Achromobacter.denitrificans,Achromobacter.insolitus,Achromobacter.phage.phiAxp.3,Achromobacter.sp..AONIH1,Achromobacter.spanius,Achromobacter.xylosoxidans,Acidaminococcus.fermentans,Acidaminococcus.intestini,Acidihalobacter.prosperus,Acidimicrobium.ferrooxidans,Acidiphilium.cryptum,Acidiphilium.multivorum
haib17CEM4890_H2NYMCCXY_SL254789,0,0,0,3.00E-05,3.00E-05,0,0,0,0,2.00E-05,0,0,0,0,0,0,0.00015,2.00E-05,0,0.00013,0.00013,0.00046,0,0,4.00E-05,1.00E-05,2.00E-05,2.00E-05
haib17CEM4890_H2NYMCCXY_SL254790,0,0,1.00E-05,2.00E-05,2.00E-05,1.00E-05,0,3.00E-05,0,1.00E-05,0,0,0,0,0,0,0.00016,3.00E-05,0,0.00011,7.00E-05,0.00042,0,0,3.00E-05,1.00E-05,1.00E-05,4.00E-05
haib17CEM4890_H2NYMCCXY_SL254791,0,3.00E-05,2.00E-05,9.00E-05,6.00E-05,4.00E-05,0,4.00E-05,0,8.00E-05,0,0,0,0,0,0,0.00034,0.00019,0,0.00039,0.00027,0.00089,0,0,4.00E-05,6.00E-05,7.00E-05,9.00E-05
haib17CEM4890_H2NYMCCXY_SL254792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,2.00E-05,0,0,8.00E-05,0.00013,0,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254793,0,0,1.00E-05,0,0,0,0,0,0,0,4.00E-05,0,3.00E-05,0,0,0,0.00054,0.00938,0,0.00037,0.00054,0.00147,0,0,2.00E-05,0,0,1.00E-05
haib17CEM4890_H2NYMCCXY_SL254794,0,0,3.00E-05,0,1.00E-05,0,0,0,0,0,2.00E-05,0,0,0,0,0,0.00045,2.00E-04,0,0.00027,5.00E-04,0.00091,0,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254795,0,0,1.00E-05,0,0,0,0,0,0,0,2.00E-05,0,0,0,0,0,0.00103,0.00049,0,0.00057,0.00095,0.00191,0,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254796,0,0,0.00016,0,0,0,0,0,0,0,0.00014,0,1.00E-05,0,2.00E-05,0,8.00E-05,4.00E-05,0,6.00E-05,9.00E-05,0.00014,0,2.00E-05,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254797,0,0,2.00E-05,5.00E-05,7.00E-05,2.00E-05,0,2.00E-05,0,3.00E-05,0,0,1.00E-05,0,2.00E-05,0,0.00028,0.00013,0,0.00024,0.00018,0.00086,0,2.00E-05,8.00E-05,3.00E-05,2.00E-05,5.00E-05
haib17CEM4890_H2NYMCCXY_SL254798,0,0,5.00E-05,4.00E-05,0.00015,0.00015,0,3.00E-05,0,2.00E-05,2.00E-05,0,0,0,0,0,0.00062,0.00024,0,0.00035,0.00055,0.00158,0,4.00E-05,5.00E-05,2.00E-05,3.00E-05,4.00E-05
haib17CEM4890_H2NYMCCXY_SL254799,0,0,2.00E-05,1.00E-05,8.00E-05,4.00E-05,0,0,0,3.00E-05,0,0,2.00E-05,1.00E-05,0,0,0.00047,0.00038,0,0.00036,0.00046,0.00125,0,5.00E-05,6.00E-05,1.00E-05,2.00E-05,3.00E-05
haib17CEM4890_H2NYMCCXY_SL254800,0,0,4.00E-05,2.00E-05,3.00E-05,0,0,0,0,0,0,0,1.00E-05,0,0,0,0.00013,1.00E-04,0,8.00E-05,0.00011,0.00045,1.00E-05,3.00E-05,1.00E-05,1.00E-05,1.00E-05,0
haib17CEM4890_H2NYMCCXY_SL254801,0,0,2.00E-05,1.00E-05,4.00E-05,1.00E-05,0,1.00E-05,0,0,0,0,0,0,0,0,0.00014,0.00015,0,0.00012,0.00011,4.00E-04,0,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254802,0,0,0,0,0,1.00E-05,0,0,0,0,0,0,0,0,0,0,0.00027,6.00E-05,0,8.00E-05,0.00011,0.00136,0,0,4.00E-05,0,0,0
haib17CEM4890_H2NYMCCXY_SL254803,0,0,0,2.00E-05,5.00E-05,4.00E-05,0,0,0,0,0,0,0,0,0,0,0.00048,0.00025,0,0.00019,0.00042,0.00103,0,0,0,4.00E-05,5.00E-05,4.00E-05
haib17CEM4890_H2NYMCCXY_SL254804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,0,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254805,0,0,5.00E-05,0,0,0,0,0,0,0,1.00E-05,0,0,0,0,0,7.00E-05,8.00E-05,0,3.00E-05,2.00E-05,0.00024,0,0,1.00E-05,0,0,0
haib17CEM4890_H2NYMCCXY_SL254806,0,0,0.00011,0,1.00E-05,0,0,0,0,0,5.00E-05,0,7.00E-05,0,0,0,5.00E-05,3.00E-05,0,4.00E-05,6.00E-05,2.00E-04,0,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254807,0,0,0.00021,0,0,0,0,0,0,0,1.00E-04,0,8.00E-05,0,0,0,1.00E-05,1.00E-05,0,3.00E-05,3.00E-05,8.00E-05,0,0,0,0,0.00063,0
haib17CEM4890_H2NYMCCXY_SL254808,0,0,0,2.00E-05,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,4.00E-05,0,2.00E-05,5.00E-05,0.00011,0,0,3.00E-05,0,0,0
